TeamPlayers1TeamId,TeamPlayers1ID,TeamPlayers1ProfileImageVersion,TeamPlayers1DisplayName,TeamPlayers1DisplayNameLastFirst,TeamPlayers1Username,TeamPlayers1DiscordUsername,TeamPlayers1FirstName,TeamPlayers1LastName,TeamPlayers1Name,TeamPlayers1NameLastFirst,TeamPlayers1LanguageDescription,TeamPlayers1PronounsDescription,TeamID,TeamName,TeamStatusDescription,TeamIsActive,DateCreated,MatchingMethod,StandingsPublished,FinalTiebreaker,OpponentGameWinPercentage,OpponentMatchWinPercentage,TeamGameWinPercentage,GameCount,GameDraws,GameLosses,GameWins,MatchCount,MatchDraws,MatchLosses,MatchWins,OpponentCount,PhaseSortOrder,Points,Rank,RoundNumber,ID,PhaseId,RoundId,TeamId,TournamentId,FormatId,FormatName,PhaseName,MatchingMethodDescription,Round,Decklists1DecklistId,Decklists1PlayerId,Decklists1DecklistName,Decklists1Format,Decklists1FormatId,GameRecord,MatchRecord,FormatDescription
2166069,2151475,0,AB4,AB4,AB4,,A,B,A B,"B, A",Auto (English),,2166069,,Active,True,6/28/2025 3:24:43 AM,Swiss,True,2166069.00000000,0.33333333,0.33333333,1.00000000,2,0,0,2,1,0,0,1,1,1,3,1,1,53011495,190737,674637,2166069,194241,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,Draft,,Swiss,Round 1,63095259-335d-4def-92a8-b30a0034f485,2151475,"Sabine Wren, Galvanized Revolutionary - Energy Conversion Lab",Draft,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,2-0-0,1-0-0,Draft
3291179,3276515,0,Rachel Green,"Green, Rachel",Green16584,,Rachel,Green,Rachel Green,"Green, Rachel",Auto (English),,3291179,,Active,True,6/28/2025 3:24:43 AM,Swiss,True,3291179.00000000,0.33333333,0.33333333,1.00000000,2,0,0,2,1,0,0,1,1,1,3,2,1,53011496,190737,674637,3291179,194241,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,Draft,,Swiss,Round 1,,,,,,2-0-0,1-0-0,Draft
3291184,3276520,0,Tommy Hawk,"Hawk, Tommy",PeacePipe51461,,Tommy,Hawk,Tommy Hawk,"Hawk, Tommy",Auto (English),,3291184,,Active,True,6/28/2025 3:24:43 AM,Swiss,True,3291184.00000000,0.33333333,0.33333333,1.00000000,2,0,0,2,1,0,0,1,1,1,3,3,1,53011497,190737,674637,3291184,194241,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,Draft,,Swiss,Round 1,,,,,,2-0-0,1-0-0,Draft
3291188,3276524,0,Sandy Beech,"Beech, Sandy",TubeSock12568,,Sandy,Beech,Sandy Beech,"Beech, Sandy",Auto (English),,3291188,,Active,True,6/28/2025 3:24:43 AM,Swiss,True,3291188.00000000,0.33333333,0.33333333,1.00000000,2,0,0,2,1,0,0,1,1,1,3,4,1,53011498,190737,674637,3291188,194241,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,Draft,,Swiss,Round 1,,,,,,2-0-0,1-0-0,Draft
3291190,3276526,0,Sue Rennder,"Rennder, Sue",HandsUp31669,,Sue,Rennder,Sue Rennder,"Rennder, Sue",Auto (English),,3291190,,Active,True,6/28/2025 3:24:43 AM,Swiss,True,3291190.00000000,0.33333333,0.33333333,1.00000000,2,0,0,2,1,0,0,1,1,1,3,5,1,53011499,190737,674637,3291190,194241,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,Draft,,Swiss,Round 1,,,,,,2-0-0,1-0-0,Draft
3291191,3276527,0,Steve Port,"Port, Steve",LegionToo,,Steve,Port,Steve Port,"Port, Steve",Auto (English),,3291191,,Active,True,6/28/2025 3:24:43 AM,Swiss,True,3291191.00000000,0.33333333,0.33333333,1.00000000,2,0,0,2,1,0,0,1,1,1,3,6,1,53011500,190737,674637,3291191,194241,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,Draft,,Swiss,Round 1,,,,,,2-0-0,1-0-0,Draft
3291195,3276531,0,Modest Mouse,"Mouse, Modest",Mouse94627,,Modest,Mouse,Modest Mouse,"Mouse, Modest",Auto (English),,3291195,,Active,True,6/28/2025 3:24:43 AM,Swiss,True,3291195.00000000,0.33333333,0.33333333,1.00000000,2,0,0,2,1,0,0,1,1,1,3,7,1,53011501,190737,674637,3291195,194241,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,Draft,,Swiss,Round 1,,,,,,2-0-0,1-0-0,Draft
3291198,3276534,0,Joe King,"King, Joe",Anita45315,,Joe,King,Joe King,"King, Joe",Auto (English),,3291198,,Active,True,6/28/2025 3:24:43 AM,Swiss,True,3291198.00000000,0.33333333,0.33333333,1.00000000,2,0,0,2,1,0,0,1,1,1,3,8,1,53011502,190737,674637,3291198,194241,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,Draft,,Swiss,Round 1,,,,,,2-0-0,1-0-0,Draft
3291210,3276546,0,Hugh DeMann,"DeMann, Hugh",Hugh16589,,Hugh,DeMann,Hugh DeMann,"DeMann, Hugh",Auto (English),,3291210,,Active,True,6/28/2025 3:24:43 AM,Swiss,True,3291210.00000000,0.33333333,0.33333333,1.00000000,2,0,0,2,1,0,0,1,1,1,3,9,1,53011503,190737,674637,3291210,194241,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,Draft,,Swiss,Round 1,,,,,,2-0-0,1-0-0,Draft
3291175,3276511,0,Holly Wood,"Wood, Holly",Burning85132,,Holly,Wood,Holly Wood,"Wood, Holly",Auto (English),,3291175,,Active,True,6/28/2025 3:24:43 AM,Swiss,True,3291175.00000000,0.33333333,0.33333333,0.66666667,3,0,1,2,1,0,0,1,1,1,3,10,1,53011504,190737,674637,3291175,194241,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,Draft,,Swiss,Round 1,,,,,,2-1-0,1-0-0,Draft
3291182,3276518,0,Ray Gunn,"Gunn, Ray",PewPew96315,,Ray,Gunn,Ray Gunn,"Gunn, Ray",Auto (English),,3291182,,Active,True,6/28/2025 3:24:43 AM,Swiss,True,3291182.00000000,0.33333333,0.33333333,0.66666667,3,0,1,2,1,0,0,1,1,1,3,11,1,53011505,190737,674637,3291182,194241,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,Draft,,Swiss,Round 1,,,,,,2-1-0,1-0-0,Draft
3291183,3276519,0,Louis Griffin,"Griffin, Louis",PeterMadeMe25994,,Louis,Griffin,Louis Griffin,"Griffin, Louis",Auto (English),,3291183,,Active,True,6/28/2025 3:24:43 AM,Swiss,True,3291183.00000000,0.33333333,0.33333333,0.66666667,3,0,1,2,1,0,0,1,1,1,3,12,1,53011506,190737,674637,3291183,194241,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,Draft,,Swiss,Round 1,,,,,,2-1-0,1-0-0,Draft
3291193,3276529,0,Brock Lee,"Lee, Brock",JollyGreen34962,,Brock,Lee,Brock Lee,"Lee, Brock",Auto (English),,3291193,,Active,True,6/28/2025 3:24:43 AM,Swiss,True,3291193.00000000,0.33333333,0.33333333,0.66666667,3,0,1,2,1,0,0,1,1,1,3,13,1,53011507,190737,674637,3291193,194241,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,Draft,,Swiss,Round 1,f97c69a1-98a3-434d-8315-b30a0036c431,3276529,"Leia Organa, Alliance General - Catacombs of Cadera",Draft,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,2-1-0,1-0-0,Draft
3291197,3276533,0,Marsha Mellow,"Mellow, Marsha",StatePuff86352,,Marsha,Mellow,Marsha Mellow,"Mellow, Marsha",Auto (English),,3291197,,Active,True,6/28/2025 3:24:43 AM,Swiss,True,3291197.00000000,0.33333333,0.33333333,0.66666667,3,0,1,2,1,0,0,1,1,1,3,14,1,53011508,190737,674637,3291197,194241,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,Draft,,Swiss,Round 1,,,,,,2-1-0,1-0-0,Draft
3291203,3276539,0,Peg Legg,"Legg, Peg",LeansRight65469,,Peg,Legg,Peg Legg,"Legg, Peg",Auto (English),,3291203,,Active,True,6/28/2025 3:24:43 AM,Swiss,True,3291203.00000000,0.33333333,0.33333333,0.66666667,3,0,1,2,1,0,0,1,1,1,3,15,1,53011509,190737,674637,3291203,194241,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,Draft,,Swiss,Round 1,,,,,,2-1-0,1-0-0,Draft
3291205,3276541,0,Jack Pot,"Pot, Jack",liltet11344,,Jack,Pot,Jack Pot,"Pot, Jack",Auto (English),,3291205,,Active,True,6/28/2025 3:24:43 AM,Swiss,True,3291205.00000000,0.33333333,0.33333333,0.66666667,3,0,1,2,1,0,0,1,1,1,3,16,1,53011510,190737,674637,3291205,194241,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,Draft,,Swiss,Round 1,,,,,,2-1-0,1-0-0,Draft
3291176,3276512,0,Dela Wear,"Wear, Dela",Dover16854,,Dela,Wear,Dela Wear,"Wear, Dela",Auto (English),,3291176,,Active,True,6/28/2025 3:24:43 AM,Swiss,True,3291176.00000000,0.44444444,0.33333333,0.44444444,3,1,1,1,1,1,0,0,1,1,1,17,1,53011511,190737,674637,3291176,194241,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,Draft,,Swiss,Round 1,,,,,,1-1-1,0-0-1,Draft
3291189,3276525,0,Mark Post,"Post, Mark",USPS94163,,Mark,Post,Mark Post,"Post, Mark",Auto (English),,3291189,,Active,True,6/28/2025 3:24:43 AM,Swiss,True,3291189.00000000,0.44444444,0.33333333,0.44444444,3,1,1,1,1,1,0,0,1,1,1,18,1,53011512,190737,674637,3291189,194241,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,Draft,,Swiss,Round 1,,,,,,1-1-1,0-0-1,Draft
3291192,3276528,0,Dan Druff,"Druff, Dan",Shoulders84515,,Dan,Druff,Dan Druff,"Druff, Dan",Auto (English),,3291192,,Active,True,6/28/2025 3:24:43 AM,Swiss,True,3291192.00000000,0.44444444,0.33333333,0.44444444,3,1,1,1,1,1,0,0,1,1,1,19,1,53011513,190737,674637,3291192,194241,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,Draft,,Swiss,Round 1,,,,,,1-1-1,0-0-1,Draft
3291196,3276532,0,Chandler Bing,"Bing, Chandler",TheBing79223,,Chandler,Bing,Chandler Bing,"Bing, Chandler",Auto (English),,3291196,,Active,True,6/28/2025 3:24:43 AM,Swiss,True,3291196.00000000,0.44444444,0.33333333,0.44444444,3,1,1,1,1,1,0,0,1,1,1,20,1,53011514,190737,674637,3291196,194241,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,Draft,,Swiss,Round 1,cea4c572-9cec-421a-8c1c-b30a00373d90,3276532,"Hera Syndulla, Spectre Two - Energy Conversion Lab",Draft,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,1-1-1,0-0-1,Draft
3291208,3276544,0,Peter Griffin,"Griffin, Peter",GrindsMyGears86518,,Peter,Griffin,Peter Griffin,"Griffin, Peter",Auto (English),,3291208,,Active,True,6/28/2025 3:24:43 AM,Swiss,True,3291208.00000000,0.44444444,0.33333333,0.44444444,3,1,1,1,1,1,0,0,1,1,1,21,1,53011515,190737,674637,3291208,194241,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,Draft,,Swiss,Round 1,,,,,,1-1-1,0-0-1,Draft
3291209,3276545,0,Harley Quinn,"Quinn, Harley",Puddin49762,,Harley,Quinn,Harley Quinn,"Quinn, Harley",Auto (English),,3291209,,Active,True,6/28/2025 3:24:43 AM,Swiss,True,3291209.00000000,0.44444444,0.33333333,0.44444444,3,1,1,1,1,1,0,0,1,1,1,22,1,53011516,190737,674637,3291209,194241,c36b85f2-fc6d-4d07-a3c3-f2c926d818aa,Draft,,Swiss,Round 1,,,,,,1-1-1,0-0-1,Draft
